sim_id,esm_ckpt,embedding_col,eval_split,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,top3_acc,top5_acc,n_train,n_eval,fit_seconds
40,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.3408740014768074,0.27173313970109886,0.2364081189430026,0.35759506566472077,0.3069202299907313,0.48269546121462614,0.5669214319278091,504225,104279,160.7
40,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.3813135914230094,0.30336214186184257,0.26876445459662446,0.39064682305900017,0.35267875239527313,0.4942222307463631,0.5321013818697916,504225,104279,0.3
50,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.7481886296083661,0.6255317577830497,0.6300776875490601,0.7620099495585121,0.7395529624265595,0.8845955393414388,0.912974281083988,475127,137603,259.6
50,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.7433849552698706,0.6642813950493006,0.5689935423775835,0.7556129458230577,0.7282140250299656,0.8850315763464459,0.9175890060536471,475127,137603,187.5
50,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.7070848746030246,0.603483380218122,0.5483693881483157,0.7161873958772452,0.6911138839419407,0.8835781196630887,0.9126399860468158,475127,137603,0.3
60,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.8969161243425249,0.8218161535602939,0.8408592276215796,0.8960069699727006,0.8896129608194826,0.9546367856922433,0.9684480500332595,463467,145823,257.9
60,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.918510797336497,0.8763461236459683,0.8357469122386146,0.9202809871965748,0.9119480910973141,0.9582301831672644,0.9682217482838784,463467,145823,125.7
60,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.9090404120063365,0.8258268848798246,0.8236751620568691,0.9063311943950324,0.9015464002809426,0.9576952881232728,0.9644911982334748,463467,145823,0.3
70,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.9510236798130612,0.8935285577952203,0.9083247352170659,0.9505437402208222,0.946762257541297,0.9783784150963903,0.9850150121591696,458907,147214,254.9
70,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.9527490591927398,0.9233784266129443,0.8884295701494622,0.9537948143683358,0.9487013883394568,0.9773187332726507,0.9841183583083131,458907,147214,144.9
70,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.9544133030825872,0.9027442908691085,0.892046650619563,0.9545946736929265,0.950425311095203,0.9790169413235155,0.9840504299862785,458907,147214,0.3
80,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.9655816345171483,0.8945308366903387,0.9143103458226709,0.9652584842589592,0.9620711758145101,0.984580409880987,0.9897495923517751,458966,147799,260.7
80,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.9618738963051171,0.9260808922653805,0.8907966847499149,0.9629676192692989,0.9580993433876819,0.9827400726662562,0.9879363189196138,458966,147799,162.6
