split,threshold,condition,bin,n,accuracy,MCC,F1_weighted,precision_weighted,recall_weighted
10,0.8,below_threshold,60-70%,6,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334
10,0.8,below_threshold,70-80%,12,1.0,,1.0,1.0,1.0
10,0.8,below_threshold,80-90%,7,1.0,,1.0,1.0,1.0
20,0.8,all,0-10%,1646,0.19015795868772783,0.17565322381883972,0.1350909652849054,0.1530331924981991,0.19015795868772783
20,0.8,all,10-20%,46931,0.17868786090217553,0.12729003537368191,0.160033871766848,0.24191601012813402,0.17868786090217553
20,0.8,all,20-30%,31943,0.21641674232226152,0.17782688093124552,0.24495012023060006,0.41455284204422777,0.21641674232226152
20,0.8,all,30-40%,2871,0.3594566353187043,0.3207153639451928,0.3654706970716811,0.5557005364179984,0.3594566353187043
20,0.8,all,40-50%,194,0.38144329896907214,0.3723917785053221,0.3718308272171626,0.44687880029283106,0.38144329896907214
20,0.8,all,50-60%,12,0.75,0.5952380952380952,0.75,0.75,0.75
20,0.8,above_threshold,0-10%,22,0.7727272727272727,0.4985486181283438,0.7779614325068871,0.8663101604278075,0.7727272727272727
20,0.8,above_threshold,10-20%,1431,0.8176100628930818,0.7050363517531791,0.7782428497041952,0.7584900125269678,0.8176100628930818
20,0.8,above_threshold,20-30%,2651,0.966804979253112,0.8975048085441995,0.9609992041493728,0.9560879630944165,0.966804979253112
20,0.8,above_threshold,30-40%,388,0.9845360824742269,0.9394911711003322,0.9819945547890808,0.9796985861072645,0.9845360824742269
20,0.8,above_threshold,40-50%,17,1.0,1.0,1.0,1.0,1.0
20,0.8,above_threshold,50-60%,6,1.0,,1.0,1.0,1.0
20,0.8,below_threshold,0-10%,1624,0.18226600985221675,0.17034804331998907,0.13266754825650373,0.13455051341986513,0.18226600985221675
20,0.8,below_threshold,10-20%,45500,0.1585934065934066,0.1090237526626682,0.14041477823288948,0.22428937245409206,0.1585934065934066
20,0.8,below_threshold,20-30%,29292,0.148504711183941,0.12052260659398496,0.16422256555240927,0.33162624842971505,0.148504711183941
20,0.8,below_threshold,30-40%,2483,0.2617801047120419,0.24301152720550034,0.26658234568933503,0.48411423717735297,0.2617801047120419
20,0.8,below_threshold,40-50%,177,0.3220338983050847,0.31516700686341714,0.31006568253669053,0.38454711113051887,0.3220338983050847
20,0.8,below_threshold,50-60%,6,0.5,0.3333333333333333,0.5,0.5,0.5
30,0.866,all,0-10%,774,0.36175710594315247,0.3085987182014165,0.32935763535728735,0.4279390725333017,0.36175710594315247
30,0.866,all,10-20%,43940,0.18441055985434684,0.13056337033627807,0.20921703220139748,0.3707403257753503,0.18441055985434684
30,0.866,all,20-30%,34710,0.2790550273696341,0.2463339533407035,0.32224427939152045,0.532167606908774,0.2790550273696341
30,0.866,all,30-40%,5410,0.48262476894639555,0.4276471248522396,0.507975044368706,0.6342772212951597,0.48262476894639555
30,0.866,all,40-50%,356,0.48314606741573035,0.4480880076781074,0.4783320903050381,0.5466297732970441,0.48314606741573035
30,0.866,all,50-60%,53,0.6792452830188679,0.5797559894837983,0.7504068589470774,0.8969002695417789,0.6792452830188679
30,0.866,all,60-70%,1,1.0,,1.0,1.0,1.0
30,0.866,above_threshold,0-10%,4,1.0,,1.0,1.0,1.0
30,0.866,above_threshold,10-20%,113,0.5575221238938053,0.5134585159009926,0.6401242703822256,0.8993004635482511,0.5575221238938053
30,0.866,above_threshold,20-30%,509,0.8762278978388998,0.7234226779285735,0.9118655515001296,0.9573060863535642,0.8762278978388998
30,0.866,above_threshold,30-40%,294,0.9897959183673469,0.8339781816560128,0.9948711533650237,1.0,0.9897959183673469
30,0.866,above_threshold,40-50%,11,0.9090909090909091,0.8076923076923077,0.9090909090909091,0.9090909090909091,0.9090909090909091
30,0.866,below_threshold,0-10%,770,0.35844155844155845,0.3051484786211434,0.32578908100680004,0.42482589203334586,0.35844155844155845
30,0.866,below_threshold,10-20%,43827,0.18344855910739954,0.12954665231703774,0.20803870956383888,0.36926725886863887,0.18344855910739954
30,0.866,below_threshold,20-30%,34201,0.2701675389608491,0.23875054678623844,0.31241024958807856,0.525280982005046,0.2701675389608491
30,0.866,below_threshold,30-40%,5116,0.45347928068803756,0.4082887958174816,0.479310309564877,0.6140010370034824,0.45347928068803756
30,0.866,below_threshold,40-50%,345,0.46956521739130436,0.43458183353172913,0.46519912752006626,0.5375868656251607,0.46956521739130436
30,0.866,below_threshold,50-60%,53,0.6792452830188679,0.5797559894837983,0.7504068589470774,0.8969002695417789,0.6792452830188679
30,0.866,below_threshold,60-70%,1,1.0,,1.0,1.0,1.0
40,0.733,all,0-10%,848,0.14504716981132076,0.08709588117498286,0.11097078288547862,0.1373171963521711,0.14504716981132076
40,0.733,all,10-20%,34999,0.1690048287093917,0.12851448438367322,0.1682911638625207,0.25101012858397875,0.1690048287093917
40,0.733,all,20-30%,43044,0.31602546231762846,0.2654393438514219,0.3240299792926596,0.4770445430195763,0.31602546231762846
40,0.733,all,30-40%,23993,0.7745175676238903,0.7535490782972067,0.7532214700056371,0.7877190511225396,0.7745175676238903
40,0.733,all,40-50%,1375,0.8756363636363637,0.8547794451477411,0.8629922017754321,0.8635720006504051,0.8756363636363637
40,0.733,all,50-60%,18,0.7222222222222222,0.6568752289222676,0.6550925925925926,0.6080246913580247,0.7222222222222222
40,0.733,all,60-70%,2,0.0,0.0,0.0,0.0,0.0
40,0.733,above_threshold,0-10%,29,0.20689655172413793,0.10654533863443545,0.19310344827586207,0.196360153256705,0.20689655172413793
40,0.733,above_threshold,10-20%,1995,0.2696741854636591,0.21353057180795523,0.27120792052501197,0.34702887693665196,0.2696741854636591
40,0.733,above_threshold,20-30%,9777,0.8634550475606014,0.8071212680352273,0.850620312984035,0.8537207137212955,0.8634550475606014
40,0.733,above_threshold,30-40%,14397,0.9641591998332986,0.9568216602040661,0.9584430681774687,0.9584129843268252,0.9641591998332986
40,0.733,above_threshold,40-50%,1017,0.9960668633235005,0.9949894639014294,0.9947041763090795,0.9936136189823505,0.9960668633235005
40,0.733,above_threshold,50-60%,8,1.0,1.0,1.0,1.0,1.0
40,0.733,below_threshold,0-10%,819,0.14285714285714285,0.0837662329039717,0.10633785873393,0.13068606373016406,0.14285714285714285
